chat_id,username,first_name,datetime,message_id,reply_to_message_id,message_type,message
819525545,muhdashe,MUHD,2026-02-26T16:03:34+00:00,54,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:03:35+00:00,55,,agent,.
819525545,,,2026-02-26T16:03:35+00:00,55,54,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:03:36+00:00,56,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:03:36+00:00,57,,agent,.
819525545,,,2026-02-26T16:03:36+00:00,57,56,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:03:37+00:00,58,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:03:38+00:00,59,,agent,.
819525545,,,2026-02-26T16:03:38+00:00,59,58,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:03:40+00:00,60,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:03:40+00:00,61,,agent,.
819525545,,,2026-02-26T16:03:40+00:00,61,60,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:12:12+00:00,62,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:12:13+00:00,63,,agent,.
819525545,,,2026-02-26T16:12:13+00:00,63,62,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:12:14+00:00,64,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:12:14+00:00,65,64,agent,.
819525545,,,2026-02-26T16:12:14+00:00,65,64,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:12:15+00:00,66,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:12:15+00:00,67,,agent,.
819525545,,,2026-02-26T16:12:15+00:00,67,66,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:12:16+00:00,68,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:12:16+00:00,69,68,agent,.
819525545,,,2026-02-26T16:12:16+00:00,69,68,agent,.
819525545,muhdashe,MUHD,2026-02-26T16:14:55+00:00,70,,user,.
819525545,muhdashe,MUHD,2026-02-26T16:14:56+00:00,71,,agent,.
819525545,,,2026-02-26T16:14:56+00:00,71,70,agent,.
819525545,muhdashe,MUHD,2026-02-26T17:56:30+00:00,72,,user,.
819525545,muhdashe,MUHD,2026-02-26T17:56:30+00:00,73,72,agent,.
819525545,,,2026-02-26T17:56:30+00:00,73,72,agent,.
819525545,muhdashe,MUHD,2026-02-26T17:56:31+00:00,74,,user,.
819525545,muhdashe,MUHD,2026-02-26T17:56:32+00:00,75,,agent,.
819525545,,,2026-02-26T17:56:32+00:00,75,74,agent,.
819525545,muhdashe,MUHD,2026-02-26T19:02:39+00:00,76,,user,.
819525545,muhdashe,MUHD,2026-02-26T19:02:40+00:00,77,76,agent,.
819525545,,,2026-02-26T19:02:40+00:00,77,76,agent,.
819525545,muhdashe,MUHD,2026-02-26T19:55:33+00:00,78,,user,.
819525545,muhdashe,MUHD,2026-02-26T19:55:34+00:00,79,78,agent,.
